Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Falling Behind,Electricity,Annual [Fiscal],72899.624,74480.855,75803.353,76633.107,77488.781,78719.101,79840.392,80635.249,81544.566,82388.834,83335.334,84447.93,85852.507,87334.734,89440.925,90576.351,92646.495,95000.855,96862.993,98041.627,99224.273,101222.085,102976.565,105062.509,107303.982,110003.353,112314.139,114278.522
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Holistic Transition,Electricity,Annual [Fiscal],72899.624,74480.855,74772.781,75627.591,78244.91,83456.365,86161.74,88940.809,93025.156,96370.147,100021.814,103322.793,109728.408,117235.989,124477.038,130395.48,134730.451,144737.769,147441.33,152140.608,158162.559,161200.835,170206.709,178579.726,183707.961,188551.468,193449.009,193256.119
2,GBFES Customer Demand: Total Industrial (Electrolysis & District Heat included),GWh,Ten Year Forecast,Electricity,Annual [Fiscal],72899.624,74480.855,75882.437,76768.014,77935.85,80378.651,82662.662,84228.776,86760.75,90722.596,95103.257,98084.902,100180.306,,,,,,,,,,,,,,,
3,GBFES Customer Demand: Networked Electrolysis,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],30.0,60.0,40.0,330.0,490.0,1810.0,2260.0,3860.0,3920.0,14920.0,20750.0,34610.0,62160.0,80280.0,82220.0,87460.0,98250.0,103780.0,124130.0,139830.0,161110.0,178880.0,182020.0,188900.0,204070.0,204810.0,216180.0,210240.0
3,GBFES Customer Demand: Networked Electrolysis,GWh,Electric Engagement,Electricity,Annual [Fiscal],30.0,60.0,40.0,170.0,290.0,1080.0,1910.0,3580.0,5070.0,5360.0,5500.0,5730.0,7360.0,11060.0,26120.0,32620.0,35440.0,42690.0,49950.0,58890.0,64350.0,64050.0,65360.0,67550.0,72860.0,79130.0,81230.0,81910.0
3,GBFES Customer Demand: Networked Electrolysis,GWh,Falling Behind,Electricity,Annual [Fiscal],30.0,60.0,10.0,170.0,230.0,350.0,530.0,530.0,540.0,570.0,890.0,1520.0,2340.0,3100.0,4550.0,5010.0,6030.0,6940.0,8150.0,8630.0,8760.0,9590.0,10360.0,11340.0,12320.0,13570.0,14550.0,15210.0
3,GBFES Customer Demand: Networked Electrolysis,GWh,Holistic Transition,Electricity,Annual [Fiscal],30.0,60.0,40.0,170.0,420.0,2930.0,3310.0,3830.0,5460.0,6290.0,7550.0,8280.0,11970.0,16630.0,21980.0,27600.0,31300.0,40340.0,42980.0,47770.0,53710.0,56640.0,65790.0,74250.0,79390.0,84120.0,88970.0,88710.0
3,GBFES Customer Demand: Networked Electrolysis,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],30.0,60.0,40.0,150.0,350.0,1680.0,2830.0,3390.0,4610.0,7050.0,10130.0,11860.0,12900.0,,,,,,,,,,,,,,,
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],72869.624,74420.855,75044.388,75524.797,76149.883,77092.473,77816.032,78455.837,79419.833,80379.032,81368.729,82495.955,83891.043,85635.432,87089.438,88248.903,89418.55,90710.995,90835.069,90836.647,90868.241,90872.217,90823.57,90753.165,90618.614,90765.466,90714.401,90851.765
3,GBFES Customer Demand: Total Industrial (Excluding Electrolysis),GWh,Electric Engagement,Electricity,Annual [Fiscal],72869.624,74420.855,74895.853,75599.013,77432.557,79718.523,82423.737,85367.979,88646.101,92373.363,96645.943,102337.69,108545.634,114063.54,118367.819,121670.637,124583.57,127365.251,128375.456,128905.924,129518.79,130067.61,130275.999,130498.914,130714.248,130916.456,131080.538,131215.753
